CODIGO INMUEBLE;ESTADO;NOMBRE SEDE;DIRECCIÓN SEDE;TELÉFONO FIJO;TELÉFONO MÓVIL;POBLACIÓN;PROVINCIA;ACTIVIDAD;AMBITO;ÁREA;"ENLACE PRAL
AMT 2012";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2012";"ADM
BACKUP";BW BACKUP;"ENLACE PRAL
AMT 2018";"ADM
PRAL";"BW
PRAL";"ENLACE BACKUP
AMT 2018";"ADM
BACKUP";BW BACKUP;MIGRACIÓN;CODIGO HOSTNAME;AMBITO;NEMONICO;CRITICIDAD SERVICIO;DISP.;CARPETA;MON.;DOC.;ESQ.
45;ALTA;Ramon y Cajal 27, Bajos;C/ Ramon y Cajal 27, bajos;165191;0;Pina;Zaragoza;Ramon y Cajal 27, Bajos;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-PIN0045-;-;-;;;;mon;doc;esq
46;ALTA;Avenida de Goya 6, Bajo;Avda. de Goya 6, bajo;165249;0;Pina;Zaragoza;Avenida de Goya 6, Bajo;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-PIN0046-;-;-;;;;mon;doc;esq
47;ALTA;Centro de Transformacion Agraria (est. vitivinicola);Barriada de Movera s/n, bajos;976586500;0;Movera;Zaragoza;Centro de Transformacion Agraria (est. vitivinicola);ADMINISTRACIÓN;ZARAGOZA;VPN IP (FTTH);-;SIN INFO;;;;VPN IP (FTTH);"50190003331034
876287613";Futura 100/100;;;;Instalada;Z-MOV0047CTA;-;CTA;ES. REMOTO;12X5;;mon;doc;esq
48;ALTA;"Finca ""La Alfranca""";Ctra. Pastriz s/n;391911;0;Movera;Zaragoza;"Finca ""La Alfranca""";ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-MOV0048-;-;-;;;;mon;doc;esq
49;ALTA;Laboratorio Calidad de Edificacion;Poligono Malpica- C/ B ;976574443;0;Zaragoza;Zaragoza;Laboratorio Calidad de Edificacion;ADMINISTRACIÓN;ZARAGOZA;SDWAN;876545988 ;FTTH - TIPO H3 - Igual o mayor a 30Mbps asimétrico;;;;;;;;;;;ZAZAR0049LAB;A;LAB;ESTANDAR;12X5;"""ZAZAR0049 - Laboratorio Calidad de Edificacion [Zaragoza]""";mon;doc;esq
50;ALTA;Piscifactoria Monast. Piedra;C/ Monasterio de Piedra s/n, bajos;849047;0;Monasterio de Piedra;Zaragoza;Piscifactoria Monast. Piedra;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-MON0050-;-;-;;;;mon;doc;esq
51;ALTA;Garaje;C/ Arrabal s/n, bajo;809196;0;Gallocanta;Zaragoza;Garaje;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-GAL0051-;-;-;;;;mon;doc;esq
52;ALTA;Comunidad Terapeutica de Rehab. Toxicomanos El Frago;C/ Afueras s/n, bajo;976689338;0;El Frago;Zaragoza;Afueras s/n, Bajo;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-EL 0052-;-;-;ES. REMOTO;12X5;;mon;doc;esq
53;ALTA;San Esteban 5, Bajo;C/ San Esteban 5, bajo;887086;0;Sigues;Zaragoza;San Esteban 5, Bajo;ADMINISTRACIÓN;ZARAGOZA;;;;;;;;;;;;;;Z-SIG0053-;-;-;;;;mon;doc;esq
54;ALTA;Aula Dei;Ctra. de Peñaflor 176, bajo;0;0;Montañana;Zaragoza;Aula Dei;ADMINISTRACIÓN;ZARAGOZA;MACROLAN (FIBRA OPTICA);-;10Mb/10Mb;;;;VPN-IP FTTH 300/300;-;-;;;;;Z-MON0054-;-;-;;;;mon;doc;esq
